id,value
16071,16071
39621,39621
39240,39240
8397,8397
30733,30733
37897,37897
21500,21500
25440,25440
30249,30249
43700,43700
25302,25302
19566,19566
41854,41854
14127,14127
17061,17061
22512,22512
29346,29346
9355,9355
20319,20319
1213,1213
14051,14051
39798,39798
25074,25074
11417,11417
29874,29874
17170,17170
7156,7156
30829,30829
45186,45186
22694,22694
39030,39030
25482,25482
28892,28892
45887,45887
16155,16155
42487,42487
12817,12817
49143,49143
27354,27354
36825,36825
22290,22290
14413,14413
13926,13926
26226,26226
6963,6963
24048,24048
22248,22248
13866,13866
39648,39648
38937,38937
852,852
9429,9429
26038,26038
33670,33670
1366,1366
22008,22008
45418,45418
48411,48411
45382,45382
19075,19075
27237,27237
49104,49104
25009,25009
15437,15437
34566,34566
47459,47459
43781,43781
32649,32649
8530,8530
12104,12104
48374,48374
6176,6176
11909,11909
48710,48710
33299,33299
29066,29066
27224,27224
28387,28387
27539,27539
28142,28142
35506,35506
9612,9612
40897,40897
31746,31746
42102,42102
44080,44080
34900,34900
35716,35716
38860,38860
10238,10238
10752,10752
27311,27311
22057,22057
8540,8540
22677,22677
11858,11858
37285,37285
8896,8896
7373,7373
44571,44571
21268,21268
25742,25742
4237,4237
4029,4029
16577,16577
792,792
46067,46067
32754,32754
36587,36587
38151,38151
5468,5468
40651,40651
39509,39509
16157,16157
10444,10444
1344,1344
16265,16265
38528,38528
45746,45746
6557,6557
13009,13009
23553,23553
20448,20448
33733,33733
49584,49584
39111,39111
37417,37417
9545,9545
40790,40790
19334,19334
5835,5835
33578,33578
20087,20087
15157,15157
44323,44323
49315,49315
2006,2006
4672,4672
18074,18074
39380,39380
49192,49192
26507,26507
1525,1525
26217,26217
34167,34167
42449,42449
27276,27276
42087,42087
26847,26847
27618,27618
44831,44831
5260,5260
691,691
33366,33366
10766,10766
39390,39390
3117,3117
382,382
7731,7731
31794,31794
30361,30361
18242,18242
37727,37727
34632,34632
25805,25805
36229,36229
36236,36236
37446,37446
8277,8277
33212,33212
28867,28867
47934,47934
21553,21553
29,29
5017,5017
39207,39207
30815,30815
6818,6818
42125,42125
44706,44706
46480,46480
21657,21657
15364,15364
12241,12241
29138,29138
46993,46993
43754,43754
10738,10738
45896,45896
2848,2848
998,998
18665,18665
38451,38451
16496,16496
11570,11570
8422,8422
42177,42177
35130,35130
15032,15032
16595,16595
2529,2529
46153,46153
36258,36258
30110,30110
7577,7577
8,8
21438,21438
16401,16401
43226,43226
15690,15690
14263,14263
14761,14761
4618,4618
45074,45074
45961,45961
29025,29025
10279,10279
24436,24436
2866,2866
9622,9622
23781,23781
10870,10870
37138,37138
36120,36120
34644,34644
32814,32814
34344,34344
40751,40751
6872,6872
31727,31727
15639,15639
269,269
30941,30941
22863,22863
14022,14022
37991,37991
40469,40469
47270,47270
16868,16868
3227,3227
16210,16210
24870,24870
12325,12325
33327,33327
43492,43492
1445,1445
9480,9480
5413,5413
37699,37699
3954,3954
48567,48567
36072,36072
814,814
42059,42059
2205,2205
646,646
49378,49378
4073,4073
14951,14951
13920,13920
17638,17638
21122,21122
19714,19714
41817,41817
31973,31973
40102,40102
2600,2600
41591,41591
27310,27310
1691,1691
33717,33717
1251,1251
42909,42909
1430,1430
26160,26160
18368,18368
9835,9835
2076,2076
30335,30335
38171,38171
15410,15410
42683,42683
4732,4732
25097,25097
36972,36972
22470,22470
25968,25968
40224,40224
1154,1154
28580,28580
45761,45761
36892,36892
20163,20163
5599,5599
15892,15892
15809,15809
44535,44535
6606,6606
46258,46258
3296,3296
32939,32939
16391,16391
40748,40748
4328,4328
49058,49058
47281,47281
2460,2460
47146,47146
48563,48563
41271,41271
35824,35824
44760,44760
7730,7730
10308,10308
9485,9485
16060,16060
19189,19189
24939,24939
41369,41369
33148,33148
47368,47368
9008,9008
38072,38072
12896,12896
30421,30421
13732,13732
47886,47886
41527,41527
42522,42522
41229,41229
13318,13318
12768,12768
33895,33895
31501,31501
1922,1922
15677,15677
16737,16737
26093,26093
2416,2416
31661,31661
24209,24209
29809,29809
47568,47568
6183,6183
28402,28402
33434,33434
37777,37777
33090,33090
35663,35663
48949,48949
23047,23047
49416,49416
18050,18050
35839,35839
11323,11323
19193,19193
49918,49918
37650,37650
19548,19548
32109,32109
18442,18442
47382,47382
2294,2294
33650,33650
35300,35300
45088,45088
17655,17655
35416,35416
10466,10466
1357,1357
37714,37714
48313,48313
35961,35961
37630,37630
892,892
7447,7447
17727,17727
10216,10216
9533,9533
33987,33987
8113,8113
28407,28407
45534,45534
34491,34491
5363,5363
13010,13010
25945,25945
40293,40293
19890,19890
30298,30298
6534,6534
48072,48072
23041,23041
35079,35079
30727,30727
38303,38303
35912,35912
13143,13143
7942,7942
2437,2437
25198,25198
13134,13134
8740,8740
9879,9879
19826,19826
42270,42270
31033,31033
35372,35372
23430,23430
11331,11331
26109,26109
7831,7831
48902,48902
25452,25452
23488,23488
17561,17561
22471,22471
17758,17758
43380,43380
3521,3521
21592,21592
42515,42515
20959,20959
34260,34260
4260,4260
9200,9200
21142,21142
37553,37553
35909,35909
2894,2894
23797,23797
49298,49298
3560,3560
47009,47009
8631,8631
23319,23319
26070,26070
3878,3878
24940,24940
22374,22374
3011,3011
26886,26886
10643,10643
33229,33229
17921,17921
10427,10427
47817,47817
41925,41925
10832,10832
4621,4621
1582,1582
45772,45772
38504,38504
5186,5186
11211,11211
3762,3762
12994,12994
35358,35358
1215,1215
9597,9597
45075,45075
31730,31730
10063,10063
1206,1206
23929,23929
