id,value
27020,27020
48754,48754
23924,23924
24201,24201
1754,1754
14914,14914
46937,46937
39344,39344
41346,41346
4362,4362
42761,42761
48246,48246
33295,33295
14833,14833
45870,45870
8071,8071
24655,24655
33248,33248
46789,46789
26800,26800
9127,9127
27055,27055
18805,18805
45486,45486
8900,8900
42099,42099
40188,40188
24608,24608
34869,34869
13647,13647
39680,39680
30208,30208
42762,42762
42415,42415
16673,16673
16057,16057
15454,15454
19519,19519
19241,19241
47825,47825
33177,33177
13050,13050
47065,47065
33929,33929
16960,16960
25136,25136
15702,15702
11977,11977
3985,3985
4055,4055
36595,36595
37271,37271
26666,26666
9818,9818
20518,20518
4748,4748
11564,11564
18271,18271
38433,38433
27338,27338
35878,35878
32917,32917
36787,36787
8635,8635
45635,45635
48647,48647
37580,37580
16009,16009
38374,38374
32595,32595
26163,26163
14518,14518
4674,4674
35969,35969
44644,44644
11675,11675
25508,25508
49885,49885
49110,49110
39696,39696
16949,16949
29187,29187
18687,18687
37057,37057
29297,29297
4800,4800
24467,24467
37242,37242
46176,46176
13554,13554
46406,46406
1335,1335
13614,13614
2550,2550
47220,47220
20748,20748
18384,18384
25510,25510
13492,13492
43365,43365
11390,11390
14527,14527
17340,17340
31290,31290
13182,13182
27318,27318
23977,23977
8079,8079
15854,15854
22938,22938
38353,38353
17225,17225
313,313
8044,8044
35641,35641
23066,23066
49489,49489
39208,39208
38907,38907
46453,46453
47283,47283
42825,42825
44814,44814
11707,11707
3263,3263
23235,23235
34851,34851
47780,47780
43504,43504
44280,44280
39606,39606
40073,40073
6328,6328
9506,9506
11888,11888
25715,25715
19521,19521
48310,48310
6711,6711
11095,11095
1,1
29045,29045
1911,1911
23275,23275
13910,13910
34955,34955
45890,45890
49558,49558
6316,6316
2457,2457
10582,10582
37344,37344
14257,14257
16290,16290
19768,19768
4710,4710
22649,22649
17524,17524
3946,3946
45752,45752
35713,35713
13595,13595
49280,49280
15703,15703
27684,27684
41254,41254
16375,16375
42215,42215
9855,9855
29026,29026
16114,16114
6537,6537
10488,10488
23805,23805
17036,17036
2232,2232
25040,25040
11799,11799
46746,46746
34460,34460
33750,33750
