id,value
759,759
27660,27660
11506,11506
32448,32448
9793,9793
26399,26399
41508,41508
20929,20929
28043,28043
10593,10593
8639,8639
42695,42695
25581,25581
10778,10778
2559,2559
14724,14724
8630,8630
39373,39373
40578,40578
26948,26948
33105,33105
8766,8766
16594,16594
38116,38116
8458,8458
23385,23385
44980,44980
32954,32954
2554,2554
44735,44735
45906,45906
5162,5162
29008,29008
4665,4665
21674,21674
29724,29724
42836,42836
45908,45908
23643,23643
33902,33902
35140,35140
36112,36112
16660,16660
12461,12461
18181,18181
30969,30969
5307,5307
1715,1715
5827,5827
16943,16943
16261,16261
9219,9219
17134,17134
48458,48458
46532,46532
15150,15150
40571,40571
29575,29575
20379,20379
15643,15643
49200,49200
14939,14939
39325,39325
29170,29170
17673,17673
32018,32018
17583,17583
44272,44272
23995,23995
10200,10200
2702,2702
48651,48651
8585,8585
21565,21565
16077,16077
42035,42035
14373,14373
35481,35481
17088,17088
67,67
15882,15882
44664,44664
25120,25120
16920,16920
8647,8647
49011,49011
17749,17749
21145,21145
21638,21638
25606,25606
12786,12786
6849,6849
12122,12122
33042,33042
20538,20538
38267,38267
35421,35421
22233,22233
6072,6072
20296,20296
42857,42857
42403,42403
25896,25896
46718,46718
24931,24931
37700,37700
37794,37794
25089,25089
33431,33431
12413,12413
33231,33231
49438,49438
9104,9104
12391,12391
35719,35719
11228,11228
10632,10632
47929,47929
8051,8051
25739,25739
38522,38522
48243,48243
18872,18872
28964,28964
4511,4511
13800,13800
38291,38291
34974,34974
33939,33939
9063,9063
38129,38129
14029,14029
9472,9472
39173,39173
24857,24857
3293,3293
49042,49042
9511,9511
15665,15665
49268,49268
17731,17731
45019,45019
39316,39316
4299,4299
49050,49050
41727,41727
43691,43691
22975,22975
601,601
26180,26180
44416,44416
5646,5646
5843,5843
20457,20457
28373,28373
8676,8676
15065,15065
37396,37396
20640,20640
42895,42895
523,523
49381,49381
3397,3397
38756,38756
28109,28109
36588,36588
31896,31896
16792,16792
20708,20708
47996,47996
24158,24158
28495,28495
33139,33139
21775,21775
20774,20774
7545,7545
29352,29352
34153,34153
549,549
3480,3480
16987,16987
22646,22646
36857,36857
1775,1775
11676,11676
21776,21776
34787,34787
2919,2919
27609,27609
20680,20680
20339,20339
22150,22150
5178,5178
38388,38388
15561,15561
