id,value
10336,10336
43643,43643
541,541
18404,18404
26562,26562
19383,19383
44126,44126
27115,27115
30835,30835
31045,31045
13163,13163
47748,47748
33198,33198
22844,22844
39899,39899
49942,49942
36186,36186
40907,40907
44084,44084
27225,27225
885,885
2958,2958
28019,28019
37771,37771
36792,36792
11889,11889
36328,36328
23131,23131
6540,6540
22898,22898
42873,42873
34367,34367
2947,2947
30392,30392
15148,15148
42391,42391
28273,28273
46156,46156
25836,25836
2131,2131
23587,23587
44920,44920
12764,12764
33999,33999
8300,8300
5152,5152
46236,46236
18263,18263
2155,2155
7251,7251
44603,44603
23055,23055
32951,32951
43085,43085
34250,34250
22117,22117
44375,44375
9689,9689
47207,47207
47561,47561
46757,46757
16791,16791
11827,11827
41194,41194
36607,36607
38475,38475
26065,26065
21904,21904
40548,40548
26390,26390
6728,6728
30604,30604
12552,12552
8555,8555
39056,39056
25972,25972
48894,48894
38282,38282
12942,12942
30243,30243
20558,20558
2474,2474
11341,11341
28944,28944
35205,35205
6767,6767
16005,16005
35439,35439
17345,17345
49761,49761
46963,46963
29710,29710
23081,23081
12439,12439
8381,8381
2348,2348
19711,19711
23451,23451
3640,3640
4993,4993
48837,48837
32789,32789
20893,20893
33687,33687
15493,15493
9119,9119
42237,42237
44217,44217
20011,20011
16476,16476
9729,9729
14869,14869
6128,6128
25948,25948
34622,34622
21352,21352
34802,34802
19024,19024
22043,22043
24056,24056
45410,45410
21487,21487
34005,34005
25974,25974
45986,45986
9028,9028
13983,13983
29447,29447
39371,39371
21933,21933
4039,4039
3554,3554
3829,3829
15210,15210
46109,46109
47677,47677
33924,33924
12264,12264
18093,18093
41586,41586
49970,49970
34912,34912
13329,13329
31311,31311
36031,36031
42404,42404
41091,41091
11337,11337
29084,29084
10682,10682
3402,3402
16342,16342
10598,10598
22833,22833
30478,30478
46415,46415
33427,33427
16942,16942
47072,47072
35561,35561
30412,30412
9375,9375
5855,5855
9441,9441
20447,20447
24997,24997
6637,6637
15577,15577
32459,32459
18141,18141
36750,36750
26195,26195
29449,29449
14635,14635
40204,40204
42294,42294
29351,29351
15254,15254
22454,22454
16099,16099
6804,6804
3940,3940
39394,39394
34486,34486
16684,16684
21187,21187
10182,10182
5912,5912
39693,39693
48957,48957
43468,43468
18291,18291
