id,value
2130,2130
3472,3472
22408,22408
32537,32537
36633,36633
20764,20764
39916,39916
48096,48096
31043,31043
48773,48773
47577,47577
35404,35404
18051,18051
11899,11899
37537,37537
45846,45846
19010,19010
8707,8707
32345,32345
6775,6775
48660,48660
19218,19218
2350,2350
26164,26164
27680,27680
23309,23309
2263,2263
33182,33182
24595,24595
28578,28578
33614,33614
23634,23634
18192,18192
19231,19231
33181,33181
13620,13620
10067,10067
4883,4883
3674,3674
49588,49588
17689,17689
22275,22275
19737,19737
28583,28583
48870,48870
5381,5381
4622,4622
7878,7878
15862,15862
3877,3877
11616,11616
7474,7474
34423,34423
383,383
42167,42167
29393,29393
17277,17277
14156,14156
48485,48485
15732,15732
35216,35216
2170,2170
21573,21573
42882,42882
12031,12031
10144,10144
38931,38931
21691,21691
31904,31904
13763,13763
10793,10793
41712,41712
31112,31112
3044,3044
35425,35425
30838,30838
21585,21585
1652,1652
20460,20460
33108,33108
28322,28322
25071,25071
124,124
4648,4648
42632,42632
37053,37053
13508,13508
48753,48753
25685,25685
931,931
17155,17155
5336,5336
28579,28579
31181,31181
16788,16788
5113,5113
12757,12757
2012,2012
6822,6822
18646,18646
15961,15961
17385,17385
15727,15727
2351,2351
44768,44768
22763,22763
27244,27244
44855,44855
43608,43608
40354,40354
26904,26904
10456,10456
16278,16278
38784,38784
21790,21790
26377,26377
14936,14936
34819,34819
3308,3308
8793,8793
21724,21724
18248,18248
10141,10141
18371,18371
629,629
47819,47819
6686,6686
18307,18307
1107,1107
46494,46494
41040,41040
30413,30413
17853,17853
12729,12729
22484,22484
49859,49859
46123,46123
1804,1804
1247,1247
1597,1597
40820,40820
16924,16924
41421,41421
30500,30500
40336,40336
41752,41752
40330,40330
8348,8348
41123,41123
32686,32686
27801,27801
23445,23445
4558,4558
49622,49622
4554,4554
28226,28226
24248,24248
6880,6880
38118,38118
8673,8673
25920,25920
35053,35053
20399,20399
44827,44827
34671,34671
46508,46508
39329,39329
4012,4012
32590,32590
3783,3783
46158,46158
7186,7186
21683,21683
31864,31864
11454,11454
47544,47544
33235,33235
30169,30169
4404,4404
48344,48344
22425,22425
4498,4498
41882,41882
40829,40829
2469,2469
19741,19741
33491,33491
17901,17901
28725,28725
13685,13685
8072,8072
41757,41757
36784,36784
49045,49045
33143,33143
23766,23766
44570,44570
40768,40768
36400,36400
24425,24425
45911,45911
20301,20301
47152,47152
34348,34348
37990,37990
11518,11518
24693,24693
39482,39482
24141,24141
42674,42674
22432,22432
